destination_path,definition,numerical_literal_status
src/dc_restoration/evaluation/trajectories.py,_resolve,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_read_yaml,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_sha256,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_write_csv,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_load_context,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_rates_summary,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_power_only_rates,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_trajectory_from_order,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_hourly_curves,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_resource_rates,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,HarmonizedResourceAdapter,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_dc_rollout,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_metric_reduction,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_setup_style,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_panel,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_export,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_scenario_initial_damage_rate,unchanged numerical literals
src/dc_restoration/evaluation/trajectories.py,_figure2,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_read_yaml,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_append_rows,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,SourceDurationValuator,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_load_model,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_resource_rates,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_simulate_source_greedy,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_evaluate_source_order,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_worker_ga,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_run_harmonized_ga,unchanged numerical literals
src/dc_restoration/evaluation/bounded_ga.py,_worker_init,unchanged numerical literals
src/dc_restoration/economics/enablement.py,_safe_ratio,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/enablement.py,_capital_recovery_factor,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/enablement.py,_source_unit_costs,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/enablement.py,_capital_cost_cases,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/enablement.py,_stage1,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/enablement.py,_stage2,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/community.py,_capital_recovery_factor,unchanged numerical literals
src/dc_restoration/economics/community.py,_annual_rate_path,unchanged numerical literals
src/dc_restoration/economics/community.py,_fiscal_summary,unchanged numerical literals
src/dc_restoration/economics/benefit_cost.py,read_csv,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,selected_capital_and_crf,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,build_anchor_enablement_bcr,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,build_host_community_ratio,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,build_annual_four_case_comparison,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,setup_style,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,style_axis,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,money_millions,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,export_figure,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,label_ratio_bars,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,figure_anchor_enablement,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,figure_host_community,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,figure_annual_balance,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/economics/benefit_cost.py,figure_annual_incremental_bcr,reviewed accounting/interface correction; see release_refinements.md
src/dc_restoration/plotting/paper.py,setup_style,unchanged numerical literals
src/dc_restoration/plotting/paper.py,ensure_dirs,unchanged numerical literals
src/dc_restoration/plotting/paper.py,publish_manuscript_png,unchanged numerical literals
src/dc_restoration/plotting/paper.py,style_axis,unchanged numerical literals
src/dc_restoration/plotting/paper.py,panel,unchanged numerical literals
src/dc_restoration/plotting/paper.py,export,unchanged numerical literals
src/dc_restoration/plotting/paper.py,bootstrap_mean,unchanged numerical literals
src/dc_restoration/plotting/paper.py,wilson,unchanged numerical literals
src/dc_restoration/plotting/paper.py,paired_reductions,unchanged numerical literals
src/dc_restoration/plotting/paper.py,support_reductions,unchanged numerical literals
src/dc_restoration/plotting/paper.py,main_figure3,unchanged numerical literals
src/dc_restoration/plotting/paper.py,main_figure4,unchanged numerical literals
src/dc_restoration/plotting/paper.py,aggregate_support_point,unchanged numerical literals
src/dc_restoration/plotting/paper.py,main_figure5,unchanged numerical literals
src/dc_restoration/plotting/paper.py,unique_hard_cohort_dc_curves,unchanged numerical literals
src/dc_restoration/plotting/paper.py,t90_reduction_by_resource,unchanged numerical literals
src/dc_restoration/plotting/paper.py,main_figure6,unchanged numerical literals
src/dc_restoration/plotting/paper.py,fresh_pair_summary,unchanged numerical literals
src/dc_restoration/plotting/paper.py,main_figure7,unchanged numerical literals
src/dc_restoration/plotting/paper.py,supplementary_s1,unchanged numerical literals
src/dc_restoration/plotting/paper.py,ecdf,unchanged numerical literals
src/dc_restoration/plotting/paper.py,supplementary_s2,unchanged numerical literals
src/dc_restoration/plotting/paper.py,supplementary_s3,unchanged numerical literals
src/dc_restoration/plotting/paper.py,supplementary_s4,unchanged numerical literals
src/dc_restoration/plotting/paper.py,fresh_category_data,unchanged numerical literals
src/dc_restoration/plotting/paper.py,supplementary_s5,unchanged numerical literals
src/dc_restoration/policies/graph.py,mlp,unchanged numerical literals
src/dc_restoration/policies/graph.py,EdgeConditionedMessagePassing,unchanged numerical literals
src/dc_restoration/policies/graph.py,TrueGNNActorCritic,unchanged numerical literals
src/dc_restoration/policies/graph.py,V03GraphAdapter,unchanged numerical literals
src/dc_restoration/policies/graph.py,to_torch_batch,unchanged numerical literals
src/dc_restoration/policies/graph.py,save_true_gnn_checkpoint,unchanged numerical literals
src/dc_restoration/policies/graph.py,load_true_gnn_checkpoint,unchanged numerical literals
src/dc_restoration/policies/graph.py,compute_gae_arrays,unchanged numerical literals
src/dc_restoration/policies/encoders.py,SpatialIndex,unchanged numerical literals
src/dc_restoration/policies/encoders.py,build_spatial_index,unchanged numerical literals
src/dc_restoration/policies/encoders.py,candidate_extra_xy,unchanged numerical literals
src/dc_restoration/policies/encoders.py,rasterize_state,unchanged numerical literals
src/dc_restoration/policies/encoders.py,MLPScorer,unchanged numerical literals
src/dc_restoration/policies/encoders.py,CNNEncoder,unchanged numerical literals
src/dc_restoration/policies/encoders.py,EncoderActorCritic,unchanged numerical literals
src/dc_restoration/restoration/environment.py,PhysicalMetrics,unchanged numerical literals
src/dc_restoration/restoration/environment.py,V03RestorationModel,unchanged numerical literals
src/dc_restoration/restoration/environment.py,score_candidates,unchanged numerical literals
src/dc_restoration/restoration/environment.py,evaluate_order,unchanged numerical literals
src/dc_restoration/economics/duration_damage.py,_inflate,unchanged numerical literals
src/dc_restoration/economics/duration_damage.py,_loglog_multiplier,unchanged numerical literals
src/dc_restoration/economics/duration_damage.py,_cdf_per_interrupted_kw,unchanged numerical literals
src/dc_restoration/economics/duration_damage.py,_valuation_parameters,unchanged numerical literals
src/dc_restoration/economics/load_accounting.py,_load_inventory,unchanged numerical literals
src/dc_restoration/economics/load_accounting.py,_support_by_load,unchanged numerical literals
src/dc_restoration/economics/load_accounting.py,_apply_node_valuations,unchanged numerical literals
src/dc_restoration/economics/interruption_damage.py,HarmonizedValuator,unchanged numerical literals
src/dc_restoration/economics/interruption_damage.py,_state_unserved_kw,unchanged numerical literals
src/dc_restoration/economics/interruption_damage.py,_accrue,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,_write_yaml,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,_write_text,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,_safe_bool,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,_md_table,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,_haversine_km,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,_resolve_path,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,OutageMetrics,unchanged numerical literals
src/dc_restoration/restoration/simulator.py,RestorationSimulator,unchanged numerical literals
src/dc_restoration/testbed/parse_transmission.py,main,unchanged numerical literals
src/dc_restoration/testbed/parse_td_mapping.py,main,unchanged numerical literals
src/dc_restoration/testbed/scan_gulf_candidates.py,load_service_area_buscoords,unchanged numerical literals
src/dc_restoration/testbed/scan_gulf_candidates.py,locate_substation_root,unchanged numerical literals
src/dc_restoration/testbed/scan_gulf_candidates.py,score_candidate,unchanged numerical literals
src/dc_restoration/testbed/scan_gulf_candidates.py,scan_service_area,unchanged numerical literals
src/dc_restoration/testbed/scan_gulf_candidates.py,main,unchanged numerical literals
src/dc_restoration/testbed/download_distribution_subset.py,download_prefix_objects,unchanged numerical literals
src/dc_restoration/testbed/download_distribution_subset.py,scenario_root_path,unchanged numerical literals
src/dc_restoration/testbed/download_distribution_subset.py,main,unchanged numerical literals
src/dc_restoration/testbed/parse_opendss_distribution.py,scenario_root,unchanged numerical literals
src/dc_restoration/testbed/parse_opendss_distribution.py,gather_file_definitions,unchanged numerical literals
src/dc_restoration/testbed/parse_opendss_distribution.py,build_linecode_lookup,unchanged numerical literals
src/dc_restoration/testbed/parse_opendss_distribution.py,select_bus_feeder,unchanged numerical literals
src/dc_restoration/testbed/parse_opendss_distribution.py,parse_selected_distribution,unchanged numerical literals
src/dc_restoration/testbed/parse_opendss_distribution.py,main,unchanged numerical literals
src/dc_restoration/testbed/extract_subnetwork.py,main,unchanged numerical literals
src/dc_restoration/testbed/aggregate_distribution_graph.py,json_list,unchanged numerical literals
src/dc_restoration/testbed/aggregate_distribution_graph.py,dominant_class,unchanged numerical literals
src/dc_restoration/testbed/aggregate_distribution_graph.py,convert_length_to_km,unchanged numerical literals
src/dc_restoration/testbed/aggregate_distribution_graph.py,main,unchanged numerical literals
src/dc_restoration/testbed/place_data_centers.py,main,unchanged numerical literals
src/dc_restoration/testbed/build_final_tables.py,parse_json_list,unchanged numerical literals
src/dc_restoration/testbed/build_final_tables.py,make_priority,unchanged numerical literals
src/dc_restoration/testbed/build_final_tables.py,build_geojson,unchanged numerical literals
src/dc_restoration/testbed/build_final_tables.py,write_maps,unchanged numerical literals
src/dc_restoration/testbed/build_final_tables.py,main,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,parse_json_list,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,project_equirectangular,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,unproject_equirectangular,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,distance_pair_metrics,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,normalize_bool,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,centroid_and_bbox,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,build_member_component_maps,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,classify_edge_row,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,build_projected_positions,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,edge_segments,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,draw_edge_subset,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,scatter_subset,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,style_axis,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,add_node_labels,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,select_candidate_nodes,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,facility_location_for_candidate,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,make_dc_record,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,make_overlay_tables,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,write_overlay_timeseries,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,plot_clean_network,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,build_post_pruning_powerflow_report,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,scenario_smoke_checks,unchanged numerical literals
src/dc_restoration/testbed/prepare_baseline_case_v0_1.py,main,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,strip_inline_comment,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,dss_value,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,parse_new_element_line,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,parse_new_elements_from_file,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,bus_name_from_ref,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,phases_from_bus_ref,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,normalize_bool_token,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,numeric_or_none,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,infer_feeder_id_from_path,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,infer_line_installation,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,infer_customer_class,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,extract_profile_definitions,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,ensure_profile_csvs,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,build_snapshot_master,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,compile_dss_master,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,safe_active_bus_data,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,circuit_voltage_report,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,write_profile_parquet,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,read_profile_csv,unchanged numerical literals
src/dc_restoration/testbed/utils/dss_parse_utils.py,json_dump,unchanged numerical literals
src/dc_restoration/testbed/utils/geo_utils.py,haversine_km,unchanged numerical literals
src/dc_restoration/testbed/utils/geo_utils.py,point_in_bbox,unchanged numerical literals
src/dc_restoration/testbed/utils/geo_utils.py,expand_bbox,unchanged numerical literals
src/dc_restoration/testbed/utils/geo_utils.py,min_distance_to_coast_km,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,ProjectPaths,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,load_config,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,get_paths,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,ensure_project_dirs,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,setup_logging,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,default_arg_parser,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,write_json,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,write_text,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,write_iteration_summary,unchanged numerical literals
src/dc_restoration/testbed/utils/project_utils.py,copy_config_to_final_case,unchanged numerical literals
src/dc_restoration/testbed/utils/s3_utils.py,_list_request,unchanged numerical literals
src/dc_restoration/testbed/utils/s3_utils.py,list_common_prefixes,unchanged numerical literals
src/dc_restoration/testbed/utils/s3_utils.py,list_objects,unchanged numerical literals
src/dc_restoration/testbed/utils/s3_utils.py,download_s3_object,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,SmartDSSubstationRef,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,service_area_from_substation_id,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,root_bus_name_from_substation_id,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,infer_distribution_voltage_from_substation_id,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,infer_service_area_prefix,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,list_service_areas,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,fetch_text_from_s3,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,fetch_line_count_from_s3,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,list_substation_feeder_ids,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,parse_buscoords_text,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,candidate_root_bus_names,unchanged numerical literals
src/dc_restoration/testbed/utils/smart_ds_utils.py,write_text_file,unchanged numerical literals
src/dc_restoration/testbed/utils/time_series_utils.py,build_non_leap_timestamps,unchanged numerical literals
src/dc_restoration/testbed/utils/time_series_utils.py,representative_day_mask,unchanged numerical literals
src/dc_restoration/hazards/damage_realization.py,build_component_damage_probabilities,unchanged numerical literals
src/dc_restoration/hazards/damage_realization.py,realize_damage_scenarios,unchanged numerical literals
src/dc_restoration/hazards/fragility.py,substation_state_probabilities,unchanged numerical literals
src/dc_restoration/hazards/fragility.py,sample_substation_states,unchanged numerical literals
src/dc_restoration/hazards/fragility.py,conductor_failure_probability,unchanged numerical literals
src/dc_restoration/hazards/fragility.py,pole_failure_probability_for_overhead_edges,unchanged numerical literals
src/dc_restoration/hazards/fragility.py,classify_edge_component,unchanged numerical literals
src/dc_restoration/hazards/fragility.py,classify_node_component,unchanged numerical literals
src/dc_restoration/hazards/geo_utils.py,approximate_distance_km,unchanged numerical literals
src/dc_restoration/hazards/geo_utils.py,approximate_distance_scalar_km,unchanged numerical literals
src/dc_restoration/hazards/geo_utils.py,midpoint_lonlat,unchanged numerical literals
src/dc_restoration/hazards/geo_utils.py,centroid_from_frame,unchanged numerical literals
src/dc_restoration/hazards/geo_utils.py,bounding_box_from_frame,unchanged numerical literals
src/dc_restoration/hazards/geo_utils.py,rowwise_distances_km,unchanged numerical literals
src/dc_restoration/hazards/hurricane_data.py,saffir_simpson_category_from_kts,unchanged numerical literals
src/dc_restoration/hazards/hurricane_data.py,load_filtered_hurdat_catalog,unchanged numerical literals
src/dc_restoration/hazards/hurricane_data.py,storm_level_summary,unchanged numerical literals
src/dc_restoration/hazards/hurricane_data.py,sample_storms,unchanged numerical literals
src/dc_restoration/hazards/hurricane_data.py,extract_storm_track,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,module_root,path handling only
src/dc_restoration/hazards/io_utils.py,load_config,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,ensure_dir,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,write_markdown,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,write_json,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,seed_everything,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,load_base_network,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,strip_base_data_centers,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,apply_dc_overlay,unchanged numerical literals
src/dc_restoration/hazards/io_utils.py,selected_dc_scenario_dirs,unchanged numerical literals
src/dc_restoration/hazards/outage_state.py,build_normal_state_graph,unchanged numerical literals
src/dc_restoration/hazards/outage_state.py,source_nodes,unchanged numerical literals
src/dc_restoration/hazards/outage_state.py,apply_damage,unchanged numerical literals
src/dc_restoration/hazards/outage_state.py,compute_source_connected_set,unchanged numerical literals
src/dc_restoration/hazards/outage_state.py,compute_outage_for_scenario,unchanged numerical literals
src/dc_restoration/hazards/outage_state.py,evaluate_all_dc_scenarios,unchanged numerical literals
src/dc_restoration/hazards/repair_times.py,sample_conductor_repair_times,unchanged numerical literals
src/dc_restoration/hazards/repair_times.py,sample_substation_repair_times,unchanged numerical literals
src/dc_restoration/hazards/storm_sampling.py,load_mainland_polygon,unchanged numerical literals
src/dc_restoration/hazards/storm_sampling.py,find_first_landfall,unchanged numerical literals
src/dc_restoration/hazards/storm_sampling.py,intensity_decay_with_distance,unchanged numerical literals
src/dc_restoration/hazards/storm_sampling.py,compute_rmax_atlantic,unchanged numerical literals
src/dc_restoration/hazards/storm_sampling.py,extend_track_if_needed,unchanged numerical literals
src/dc_restoration/hazards/storm_sampling.py,build_sampled_storm_tracks,unchanged numerical literals
src/dc_restoration/hazards/wind_exposure.py,compute_max_wind_for_points,unchanged numerical literals
src/dc_restoration/hazards/wind_exposure.py,_node_component_type,unchanged numerical literals
src/dc_restoration/hazards/wind_exposure.py,_node_damage_eligible,unchanged numerical literals
src/dc_restoration/hazards/wind_exposure.py,build_node_exposure_table,unchanged numerical literals
src/dc_restoration/hazards/wind_exposure.py,build_edge_exposure_table,unchanged numerical literals
src/dc_restoration/evaluation/statistics.py,_display_map,unchanged numerical literals
src/dc_restoration/evaluation/statistics.py,_bootstrap_mean,unchanged numerical literals
src/dc_restoration/evaluation/statistics.py,_pairwise_vs_greedy,unchanged numerical literals
src/dc_restoration/evaluation/statistics.py,_summary,unchanged numerical literals
